meshes/actors/character/facegendata/facegeom/dragonborn.esm/00017778.nif	Triangles x2491, Triangles Copy x2491, Index x460, Vertex Weights x442, Weight x288, Num Bones x7
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001827e.nif	Triangles x1900, Triangles Copy x1900, Index x936, Weight x218, Vertex Weights x208, Num Bones x13
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00018280.nif	Triangles x2396, Triangles Copy x2396, Index x1447, Weight x517, Vertex Weights x190, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00018288.nif	Triangles x2388, Triangles Copy x2388, Index x795, Weight x540, Vertex Weights x76, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001828e.nif	Triangles x2230, Triangles Copy x2230, Index x1280, Weight x307, Vertex Weights x198, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00018fb9.nif	Triangles x2491, Triangles Copy x2491, Index x452, Vertex Weights x437, Weight x284, Num Bones x7
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00018fc1.nif	Triangles x2335, Triangles Copy x2335, Index x1294, Weight x320, Vertex Weights x170, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00018fc8.nif	Triangles x1903, Triangles Copy x1903, Index x1088, Weight x272, Vertex Weights x198, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001959a.nif	Triangles x1796, Triangles Copy x1796, Index x1036, Weight x261, Vertex Weights x194, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/000195b1.nif	Triangles x2900, Triangles Copy x2900, Index x1915, Weight x617, Vertex Weights x402, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001dc67.nif	Triangles x2664, Triangles Copy x2664, Index x1234, Weight x418, Vertex Weights x318, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e80a.nif	Triangles x2055, Triangles Copy x2055, Index x1049, Weight x266, Vertex Weights x236, Num Bones x13
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e813.nif	Triangles x3676, Triangles Copy x3676, Index x2072, Weight x1674, Vertex Weights x152, Num Bones x6
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e81a.nif	Triangles x2579, Triangles Copy x2579, Index x1471, Weight x415, Vertex Weights x198, Num Bones x13
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e824.nif	Triangles x2396, Triangles Copy x2396, Index x1447, Weight x517, Vertex Weights x190, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e829.nif	Triangles x1988, Triangles Copy x1988, Index x287, Weight x156, Vertex Weights x102, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e830.nif	Triangles x2628, Triangles Copy x2628, Index x1599, Weight x571, Vertex Weights x218, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e832.nif	Triangles x2579, Triangles Copy x2579, Index x1471, Weight x415, Vertex Weights x198, Num Bones x13
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e835.nif	Triangles x2628, Triangles Copy x2628, Index x1599, Weight x571, Vertex Weights x218, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e83d.nif	Triangles x2055, Triangles Copy x2055, Index x1049, Weight x266, Vertex Weights x236, Num Bones x13
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e83f.nif	Triangles x2388, Triangles Copy x2388, Index x795, Weight x540, Vertex Weights x76, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e841.nif	Triangles x1988, Triangles Copy x1988, Index x287, Weight x156, Vertex Weights x102, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e842.nif	Triangles x2432, Triangles Copy x2432, Index x1349, Weight x612, Vertex Weights x322, Num Bones x8
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e849.nif	Triangles x1965, Triangles Copy x1965, Index x1137, Weight x246, Vertex Weights x186, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e84f.nif	Triangles x2079, Triangles Copy x2079, Index x1190, Weight x256, Vertex Weights x182, Num Bones x14
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e85a.nif	Triangles x2032, Triangles Copy x2032, Index x193, Weight x138, Vertex Weights x84, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e862.nif	Triangles x2579, Triangles Copy x2579, Index x1471, Weight x415, Vertex Weights x198, Num Bones x13
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e865.nif	Triangles x2081, Triangles Copy x2081, Index x1060, Weight x262, Vertex Weights x196, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e86a.nif	Triangles x1965, Triangles Copy x1965, Index x1137, Weight x246, Vertex Weights x186, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e877.nif	Triangles x1965, Triangles Copy x1965, Index x1137, Weight x246, Vertex Weights x186, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e882.nif	Triangles x2032, Triangles Copy x2032, Index x193, Weight x138, Vertex Weights x84, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e889.nif	Triangles x2628, Triangles Copy x2628, Index x1599, Weight x571, Vertex Weights x218, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001e88d.nif	Triangles x1991, Triangles Copy x1991, Index x302, Weight x144, Vertex Weights x74, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0001f9c4.nif	Triangles x2354, Triangles Copy x2354, Vertex Weights x441, Index x296, Weight x190, Num Vertices x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0002662f.nif	Triangles x2547, Triangles Copy x2547, Index x1761, Weight x828, Vertex Weights x182, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/000277ec.nif	Triangles x2347, Triangles Copy x2347, Index x1319, Weight x361, Vertex Weights x170, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/000277f8.nif	Triangles x1685, Triangles Copy x1685, Index x113, Weight x110, Vertex Weights x66, Num Bones x8
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0002a37a.nif	Triangles x932, Triangles Copy x932, Index x402, Weight x160, Vertex Weights x76, Num Bones x3
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0002b236.nif	Triangles x2243, Triangles Copy x2243, Index x1331, Weight x338, Vertex Weights x198, Num Bones x12
meshes/actors/character/facegendata/facegeom/dragonborn.esm/0002c1eb.nif	Triangles x1973, Triangles Copy x1973, Index x1155, Weight x248, Vertex Weights x210, Num Bones x10
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00030cd1.nif	Triangles x1991, Triangles Copy x1991, Index x1172, Weight x348, Vertex Weights x202, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00034fbd.nif	Triangles x1685, Triangles Copy x1685, Index x113, Weight x110, Vertex Weights x66, Num Bones x8
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00034fc0.nif	Triangles x2503, Triangles Copy x2503, Index x533, Weight x308, Vertex Weights x251, Num Bones x6
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00034fcb.nif	Triangles x2668, Triangles Copy x2668, Index x1763, Weight x563, Vertex Weights x374, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00035654.nif	Triangles x2388, Triangles Copy x2388, Index x795, Weight x540, Vertex Weights x76, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00035656.nif	Triangles x2541, Triangles Copy x2541, Index x1761, Weight x790, Vertex Weights x194, Num Bones x9
meshes/actors/character/facegendata/facegeom/dragonborn.esm/000365f3.nif	Triangles x2552, Triangles Copy x2552, Index x1547, Weight x546, Vertex Weights x202, Num Bones x15
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00037ffc.nif	Triangles x2900, Triangles Copy x2900, Index x1915, Weight x617, Vertex Weights x402, Num Bones x11
meshes/actors/character/facegendata/facegeom/dragonborn.esm/00038002.nif	Triangles x1998, Triangles Copy x1998, Index x1128, Weight x253, Vertex Weights x170, Num Bones x9
